"logFC" "logCPM" "PValue" "FDR"
"FDXR" -1.17868437552427 5.12907315930892 0.0134202074678995 0.843077834630752
"N4BP2L1" 1.18702205634019 7.71453899758547 0.0134230584307173 0.843077834630752
"GAPVD1" -1.18700881069516 3.52378433193351 0.0134333016178156 0.843077834630752
"C4orf46" -1.19039426038868 3.28152900841655 0.0134572141953436 0.843077834630752
"DUS1L" -1.2016830863834 2.39944209950928 0.0135411153612757 0.843077834630752
"ZNF891" 1.20640607033109 2.09427825708562 0.0135551493490455 0.843077834630752
"DEFB116" 1.18436225626966 6.40572252630539 0.0135715506301782 0.843077834630752
"LCOR" -1.18363810007192 6.95638282064589 0.0136428728084879 0.843077834630752
"GRIA1" -1.19883039946935 2.50160852716209 0.0136595154503188 0.843077834630752
"BEX5" 1.18267093303716 3.60744929720961 0.0137036322609814 0.843077834630752
"ZNF676" -1.18287677929749 6.67542219515913 0.0137092442772298 0.843077834630752
"TFEB" 1.17307854775944 5.58569945708487 0.0137344731257239 0.843077834630752
"HOXB1" -1.17096095357358 5.35880215902191 0.013752827470336 0.843077834630752
"AGAP3" 1.18213522739645 6.89410554127954 0.0137645628567201 0.843077834630752
"UQCR10" -1.17283897604742 5.87179013820041 0.0137823816790331 0.843077834630752
"ZNF2" -1.19104534635943 4.36660099288766 0.013834675167517 0.843077834630752
"IL26" -1.25706030645591 -0.0999032354707598 0.0138988311798527 0.843077834630752
"RHBDF1" 1.16896504661432 5.33101338383605 0.0139166805725431 0.843077834630752
"CCDC94" 1.16932840110679 5.82755071958462 0.0140649611858105 0.843077834630752
"PIR" -1.18537380794161 3.09192486391194 0.0140828231069486 0.843077834630752
"TMPRSS11D" 1.16709231464318 5.48567124382394 0.0141483421502219 0.843077834630752
"ARFGAP2" 1.18807066129218 2.84608564271644 0.0141510763312021 0.843077834630752
"WBP11" -1.18194390061519 3.23372571630447 0.0141727699107294 0.843077834630752
"CACNA2D2" 1.17280757630574 6.13048633025035 0.0142531546604715 0.843077834630752
"SH2D2A" 1.18113171456781 4.07636279229757 0.0142696083536794 0.843077834630752
